"","Progeny","CWT_WEO","CCT_WEO","CAWT_WEO","MotherID","FatherID","CWT_SAL1","CCT_SAL1","CAWT_SAL1","CWT_SAL2","CCT_SAL2","CAWT_SAL2"
"212","s0P5q48YQE",336.2,13,25.8615384615385,"R9KUKOjnBl","1MNP3T7ww2",469.970833333333,20,23.5524561333333,511.7075,23.75,21.5007464533333
"213","sUyTC9sbhm",1212.2,46,26.3521739130435,"R9KUKOjnBl","1MNP3T7ww2",776.641666666667,28.1666666666667,27.6688437166667,710.510833333333,27.5,25.8239292533333
"214","cZtqLEX5hL",565.6,23,24.5913043478261,"R9KUKOjnBl","4UvNz6j0f2",577.710833333333,22.1666666666667,26.1615710166667,731.43875,30.375,24.12586534
"215","B2zDaSEqSb",1089.6,50,21.792,"R9KUKOjnBl","4UvNz6j0f2",661.19,23.75,27.9224358833333,735.183333333334,31.5,23.3784448966667
"217","f82U12TCJx",960.1,30,32.0033333333333,"R9KUKOjnBl","4UvNz6j0f2",686.544166666667,19.5833333333333,35.1601299733333,757.304166666667,25.5,29.85859116
"218","wCQpc0fVpQ",252.1,5,50.42,"R9KUKOjnBl","4UvNz6j0f2",709.884166666667,19.9166666666667,35.6021913566667,NA,NA,NA
"219","iLeNHlXTX7",708.1,20,35.405,"R9KUKOjnBl","4UvNz6j0f2",766.461666666667,22.5833333333333,34.0400394933333,613.118333333333,20.0833333333333,30.3586547966667
"220","nQx5IbjUhx",851,27,31.5185185185185,"R9KUKOjnBl","4UvNz6j0f2",969.595,26.1666666666667,37.44082006,790.245,23.25,34.0780677666667
"221","ZfnBAqVAIQ",204.6,4,51.15,"R9KUKOjnBl","4UvNz6j0f2",647.1725,22.1666666666667,29.1451915233333,606.215,25.1666666666667,24.0452276833333
"222","btPeoP1rsV",369.4,13,28.4153846153846,"R9KUKOjnBl","mpcNtDuFer",497.1125,17,29.0780539566667,388.679722222222,15.2777777777778,25.44689512
"223","wpF9cCyXvO",561.8,26,21.6076923076923,"R9KUKOjnBl","mpcNtDuFer",576.241666666667,18.1666666666667,31.42600626,739.665833333334,25.6666666666667,28.6707825866667
"224","Ym5uGAnhZE",332.5,9,36.9444444444444,"R9KUKOjnBl","mpcNtDuFer",598.005833333333,17.9166666666667,33.6019604333333,555.840833333333,17.6666666666667,31.8743545
"225","vB7bTvhw6I",103.8,3,34.6,"R9KUKOjnBl","mpcNtDuFer",690.9975,25.8333333333333,26.6457238666667,452.246666666667,20.5,22.0493908366667
"226","bVCsfSBP9H",410.1,15,27.34,"R9KUKOjnBl","mpcNtDuFer",575.684166666667,17,34.4724969066667,473.439166666667,16.0833333333333,29.52097792
"227","uGC2hCfoRU",464.6,13,35.7384615384615,"R9KUKOjnBl","mpcNtDuFer",594.719166666667,18.9166666666667,31.7644064633333,466.1525,15.4166666666667,30.3983306566667
"228","HcrNPDnCyt",0,0,NA,"R9KUKOjnBl","mpcNtDuFer",543.083333333333,14,38.7842495066667,567.078333333333,18.0833333333333,31.3117171233333
"229","znTeLmfyXy",488,14,34.8571428571429,"R9KUKOjnBl","mpcNtDuFer",706.000833333334,23.4166666666667,30.18218503,559.8625,20.4166666666667,27.3049194766667
"230","4gki7m2XlV",288.4,9,32.0444444444444,"R9KUKOjnBl","fuSIkHAJnC",671.5088889,22.9166666666667,29.2575789133333,617.635833333333,23.8333333333333,26.54713858
"231","LdiN7NoPFN",628.2,17,36.9529411764706,"R9KUKOjnBl","fuSIkHAJnC",691.575555566667,21,32.8976221066667,590.075,19.25,30.7658860966667
"232","uf4rhogwPs",1072.4,28,38.3,"R9KUKOjnBl","fuSIkHAJnC",947.969166666667,26.5,36.03556929,848.19,24,35.3221352333333
"233","HqyCt3cwyo",951.3,32,29.728125,"R9KUKOjnBl","fuSIkHAJnC",684.143333333333,20.8333333333333,32.97690936,624.979583333333,21.0416666666667,29.799114285
"234","JiwZGMu96P",665.2,26,25.5846153846154,"R9KUKOjnBl","fuSIkHAJnC",491.743333333333,16.0833333333333,30.5457909133333,689.516666666667,26.25,26.3538857466667
"235","zXF7obAJZo",1074.5,42,25.5833333333333,"R9KUKOjnBl","fuSIkHAJnC",655.649166666667,20.5833333333333,32.0166427466667,699.461666666667,25.25,27.7711941666667
"236","7ZfUcflUB5",542.5,15,36.1666666666667,"R9KUKOjnBl","fuSIkHAJnC",647.63,21.0833333333333,30.98270147,616.163333333334,20.3333333333333,30.39747531
"237","99WSelSx70",758,22,34.4545454545455,"R9KUKOjnBl","fuSIkHAJnC",893.9925,23.3333333333333,38.27234059,731.930833333333,23,31.7453243866667
"238","uYjjg6F4bm",566.4,19,29.8105263157895,"R9KUKOjnBl","Qbu6oxYtP9",576.5688889,18.8055555566667,30.5325301466667,779.061666666667,25.0833333333333,31.0678468266667
"239","E1CyABZkGG",420.7,14,30.05,"R9KUKOjnBl","Qbu6oxYtP9",681.051666666667,23.4166666666667,29.0768297666667,697.838333333333,25.25,27.5987738666667
"240","PH0v8USTAZ",42.4,9,4.71111111111111,"R9KUKOjnBl","Qbu6oxYtP9",624.144166666667,19.0833333333333,33.00033068,786.45,24.5,32.115256675
"241","XX8Ua7UKYC",612.3,14,43.7357142857143,"R9KUKOjnBl","Qbu6oxYtP9",408.8925,15.4444444433333,26.2541206333333,478.01625,17.375,27.52335507
"242","T9Ef8dE4Tj",468,14,33.4285714285714,"R9KUKOjnBl","Qbu6oxYtP9",741.800833333333,24.9166666666667,29.7966748633333,594.969166666667,24.25,24.27017598
"243","K77CqP7U9g",649.3,25,25.972,"R9KUKOjnBl","Qbu6oxYtP9",1000.19083333333,29.75,33.61644677,791.3125,27.3333333333333,29.0931989866667
"244","ja4rhEP3qE",1092.7,35,31.22,"R9KUKOjnBl","Qbu6oxYtP9",939.653333333334,24.0833333333333,39.0484423166667,583.615833333334,17.8333333333333,32.5834145666667
"245","sEUvceibVn",221.8,9,24.6444444444444,"R9KUKOjnBl","Qbu6oxYtP9",820.5425,24.75,33.3429253666667,489.62,17.5,28.5402420766667
"246","EdIx91j62A",494.7,17,29.1,"R9KUKOjnBl","Hpkn8ytvLF",493.175833333333,17.0833333333333,29.0596984133333,585.6425,20.6666666666667,28.2791315933333
"247","Ygy1Cr34dn",598.8,20,29.94,"R9KUKOjnBl","Hpkn8ytvLF",696.418333333333,25.75,27.36214225,484.27,18.4166666666667,26.3619852433333
"249","Pg83uryssm",208.2,5,41.64,"R9KUKOjnBl","Hpkn8ytvLF",545.47,18.5,29.52669025,366.32,13,28.2338991533333
"251","M0oLXs8nKw",544.1,17,32.0058823529412,"R9KUKOjnBl","Hpkn8ytvLF",343.611666666667,13.25,25.1294740833333,210.3775,9.5,22.30544391
